salary,age,elevel,car,zipcode,credit,brand
97736.75249,21,High School Degree,BMW,East North Central,76882.24568,Sony
91315.19507,57,4-Year College Degree,Nissan,West South Central,267350.9575,Acer
125452.1207,42,4-Year College Degree,Mercedes Benz,Mid-Atlantic,417529.833,Sony
38579.20533,44,Some College,Jeep,West North Central,84260.2812,Sony
38043.11147,52,Some College,Buick,West North Central,210004.5866,Sony
49692.09674,42,"Master's, Doctoral or Professional Degree",Honda,East North Central,462826.1495,Sony
101454.6305,26,Less than High School Degree,Subaru,East North Central,22960.79969,Acer
123266.0939,45,Less than High School Degree,Ram,West North Central,0.0,Acer
108356.0675,26,Less than High School Degree,Hyundai,New England,193313.0143,Sony
145227.4387,51,High School Degree,Chrysler,West North Central,436186.7925,Sony
47038.66895,37,"Master's, Doctoral or Professional Degree",Kia,South Atlantic,26372.01677,Sony
90380.44913,28,Some College,Ram,New England,0.0,Acer
87634.04855,59,Some College,Chrysler,West South Central,206711.9404,Sony
132209.9161,68,Some College,Chevrolet,West South Central,417555.6048,Sony
74868.80467,71,High School Degree,Ford,East South Central,176808.022,Acer
75014.31541,72,4-Year College Degree,Subaru,West North Central,296145.2233,Sony
97986.02981,69,Some College,Chrysler,East South Central,247553.2448,Sony
76687.00712,41,Less than High School Degree,Chevrolet,West North Central,405797.2386,Acer
36679.32036,35,"Master's, Doctoral or Professional Degree",Lincoln,Mid-Atlantic,15727.3963,Sony
87572.47168,43,High School Degree,Lincoln,South Atlantic,68500.989,Acer
125796.5011,57,Less than High School Degree,Mitsubishi,Mountain,323423.7621,Acer
110027.6772,52,Less than High School Degree,Nissan,South Atlantic,386734.4386,Acer
81015.25683,63,Less than High School Degree,Ford,Mountain,250036.0,Sony
88405.44247,36,"Master's, Doctoral or Professional Degree",Honda,Mountain,195042.678,Acer
79709.08819,51,Some College,Cadillac,Mid-Atlantic,291992.4442,Acer
116982.1324,42,Less than High School Degree,Chrysler,West South Central,250699.3393,Acer
36761.19167,32,Some College,Dodge,East North Central,114826.0399,Sony
101996.8511,33,Less than High School Degree,Honda,East North Central,276545.1894,Acer
30991.66107,75,High School Degree,Subaru,South Atlantic,307978.644,Acer
137871.8319,24,Less than High School Degree,Ram,East South Central,115781.5242,Sony
83185.07469,62,"Master's, Doctoral or Professional Degree",Buick,Pacific,163108.4384,Sony
31430.23788,47,"Master's, Doctoral or Professional Degree",Jeep,East North Central,177297.7198,Sony
50883.13139,72,High School Degree,Subaru,West South Central,259957.0146,Acer
63708.35087,31,Less than High School Degree,Subaru,West South Central,129263.3169,Acer
66431.46169,79,High School Degree,None of the above,West South Central,388763.2145,Acer
145409.6872,22,High School Degree,Nissan,West North Central,393137.5146,Sony
79448.80903,42,Some College,Chrysler,East North Central,62604.36209,Acer
131957.8134,65,"Master's, Doctoral or Professional Degree",Kia,Mid-Atlantic,238253.0074,Sony
91708.59748,44,"Master's, Doctoral or Professional Degree",Hyundai,East South Central,396255.5288,Acer
150000.0,46,"Master's, Doctoral or Professional Degree",BMW,Pacific,313158.5103,Sony
109505.1253,61,Some College,Jeep,West North Central,68952.84297,Acer
131927.7112,63,High School Degree,Honda,Mid-Atlantic,424565.9627,Sony
110539.0599,64,"Master's, Doctoral or Professional Degree",Kia,West South Central,257476.5904,Sony
133162.3653,69,Less than High School Degree,Ford,Pacific,413996.4766,Sony
140352.0096,75,Some College,Mitsubishi,South Atlantic,339276.6955,Sony
85161.21816,64,Some College,Mercedes Benz,East South Central,36491.25654,Sony
42954.52214,64,Less than High School Degree,Mazda,New England,463502.2803,Acer
143756.6798,54,High School Degree,Mazda,East North Central,88560.27002,Sony
137368.9441,57,"Master's, Doctoral or Professional Degree",Lincoln,Pacific,415156.2822,Sony
43377.95669,30,Less than High School Degree,Dodge,East North Central,190336.1605,Sony
85919.98579,75,4-Year College Degree,Ford,Mid-Atlantic,43412.86628,Sony
147788.4085,30,High School Degree,Chrysler,East North Central,131963.4556,Sony
66923.38974,73,"Master's, Doctoral or Professional Degree",Kia,Mid-Atlantic,266925.7954,Acer
144289.5569,31,"Master's, Doctoral or Professional Degree",Ford,Mountain,113120.0512,Sony
91947.70597,73,Less than High School Degree,Lincoln,West South Central,237813.5768,Sony
96785.84648,52,"Master's, Doctoral or Professional Degree",Toyota,East South Central,148748.7091,Acer
47399.23601,21,"Master's, Doctoral or Professional Degree",Buick,West North Central,362188.0274,Sony
42158.55331,53,High School Degree,Cadillac,West South Central,121961.5697,Sony
56740.9202,66,Some College,Subaru,West South Central,144605.2693,Acer
101076.8581,22,Less than High School Degree,Dodge,Mid-Atlantic,268532.5642,Sony
37854.62392,59,Less than High School Degree,Hyundai,New England,496484.7927,Sony
104524.7856,75,4-Year College Degree,Hyundai,West North Central,252602.3268,Sony
51053.51946,30,Less than High School Degree,Mitsubishi,East South Central,88354.59118,Acer
46822.50581,29,Some College,Ford,Pacific,414381.2016,Acer
34759.47997,58,"Master's, Doctoral or Professional Degree",Nissan,Mid-Atlantic,396818.5906,Sony
141628.0388,75,Some College,Subaru,West North Central,326686.0247,Sony
59628.93628,36,"Master's, Doctoral or Professional Degree",Lincoln,Mountain,290262.5533,Acer
78358.97271,76,4-Year College Degree,Jeep,Mountain,365827.7418,Sony
26963.8117,35,High School Degree,Honda,East South Central,266219.8571,Sony
116112.6737,26,"Master's, Doctoral or Professional Degree",Toyota,Mountain,404450.4455,Sony
83246.06241,73,4-Year College Degree,Mazda,East North Central,252877.311,Sony
130659.3274,29,Less than High School Degree,Mitsubishi,New England,271194.6055,Sony
47868.26996,41,Some College,Mercedes Benz,West North Central,36230.61235,Sony
96033.56517,57,High School Degree,Mercedes Benz,West South Central,482692.673,Acer
31392.28755,24,High School Degree,BMW,Mountain,491295.7244,Sony
69737.79123,61,Some College,Nissan,West South Central,348396.9512,Acer
27102.74327,46,Less than High School Degree,Nissan,East North Central,293842.1544,Sony
23654.64631,76,Less than High School Degree,Mercedes Benz,Mid-Atlantic,460399.5189,Sony
138560.6316,62,"Master's, Doctoral or Professional Degree",Subaru,New England,81219.09461,Sony
84730.79371,61,"Master's, Doctoral or Professional Degree",Nissan,West South Central,190860.2432,Sony
138221.6411,45,Some College,Ford,South Atlantic,219282.5017,Sony
80798.43468,47,Some College,Kia,East South Central,390780.3539,Acer
129050.4786,77,"Master's, Doctoral or Professional Degree",Jeep,South Atlantic,481644.6779,Sony
96839.44554,53,High School Degree,Subaru,South Atlantic,393853.3631,Acer
116080.6148,65,4-Year College Degree,Toyota,Pacific,70909.89901,Sony
100820.0127,70,"Master's, Doctoral or Professional Degree",Chevrolet,West South Central,463076.2302,Sony
129274.9851,29,Some College,Lincoln,New England,98820.08272,Sony
102307.338,77,Less than High School Degree,Cadillac,Mid-Atlantic,305063.1696,Sony
112471.3817,24,High School Degree,Buick,East North Central,318564.8699,Sony
48880.22734,38,Some College,Hyundai,South Atlantic,376145.7739,Sony
80460.46303,21,"Master's, Doctoral or Professional Degree",Buick,Mountain,180388.1352,Acer
43727.80569,43,4-Year College Degree,Toyota,Mid-Atlantic,199837.2545,Sony
134832.8799,44,4-Year College Degree,Jeep,West South Central,387388.682,Sony
89282.60355,55,4-Year College Degree,Mercedes Benz,South Atlantic,245925.2087,Acer
117663.2622,70,High School Degree,Chrysler,New England,291348.255,Sony
117036.9001,34,4-Year College Degree,Cadillac,East North Central,114259.2543,Sony
103561.6649,38,4-Year College Degree,Chevrolet,Mountain,362072.0556,Sony
23964.83034,57,High School Degree,Ram,South Atlantic,165441.501,Sony
53452.1516,32,High School Degree,None of the above,East North Central,24755.74467,Acer
134663.8237,51,High School Degree,Buick,Mid-Atlantic,476990.3625,Sony
27705.55768,41,"Master's, Doctoral or Professional Degree",Nissan,East South Central,213908.7984,Sony
68420.3845,26,"Master's, Doctoral or Professional Degree",Mercedes Benz,East North Central,485034.8151,Acer
83499.84104,78,"Master's, Doctoral or Professional Degree",Toyota,West North Central,211182.218,Sony
45257.89254,40,Some College,Kia,South Atlantic,374850.8742,Sony
22083.3418,52,High School Degree,Mercedes Benz,Mountain,87643.63816,Sony
115221.605,42,4-Year College Degree,Lincoln,Pacific,460387.283,Acer
84020.68676,72,"Master's, Doctoral or Professional Degree",Kia,South Atlantic,334105.9909,Sony
109830.1691,24,High School Degree,Hyundai,Pacific,144156.9785,Sony
140784.7192,60,"Master's, Doctoral or Professional Degree",Cadillac,South Atlantic,485468.1685,Sony
104363.634,29,Some College,Mitsubishi,Pacific,71762.09863,Sony
58089.91395,45,Some College,Hyundai,East South Central,460439.3142,Sony
138483.5089,34,"Master's, Doctoral or Professional Degree",Ram,Mountain,158932.9768,Sony
27228.80043,39,Less than High School Degree,Toyota,Mid-Atlantic,365463.041,Sony
120233.0347,70,Some College,Nissan,Pacific,91005.91966,Sony
137794.6133,24,Less than High School Degree,Mazda,East North Central,216481.9042,Sony
33466.40514,74,"Master's, Doctoral or Professional Degree",None of the above,West South Central,123852.0306,Acer
26386.96058,52,High School Degree,Cadillac,East North Central,93758.19955,Sony
125116.9682,32,4-Year College Degree,Mitsubishi,New England,290177.4608,Sony
111872.7192,41,Less than High School Degree,Honda,Mid-Atlantic,13674.56176,Acer
55982.03847,60,4-Year College Degree,Buick,Mid-Atlantic,50869.17995,Acer
133279.7834,41,Some College,Mitsubishi,West South Central,260987.137,Sony
25011.38899,20,"Master's, Doctoral or Professional Degree",Cadillac,Mountain,282742.6841,Sony
41010.73299,62,"Master's, Doctoral or Professional Degree",Hyundai,South Atlantic,476510.2101,Sony
148518.7501,52,High School Degree,Ram,Pacific,293916.2145,Sony
140390.2986,69,Some College,Ford,West South Central,235410.8935,Sony
106841.0035,78,4-Year College Degree,Buick,East South Central,386222.3608,Sony
90537.0496,35,High School Degree,Buick,East North Central,302056.9251,Acer
37910.1441,20,4-Year College Degree,BMW,Mid-Atlantic,399464.5848,Sony
92422.59324,52,Some College,Honda,East North Central,308886.506,Acer
150000.0,31,"Master's, Doctoral or Professional Degree",Subaru,East South Central,249790.5327,Sony
66938.52234,47,High School Degree,Kia,Pacific,15198.15057,Sony
88387.43138,80,High School Degree,Kia,Mid-Atlantic,82333.27718,Sony
29060.81025,45,Some College,Hyundai,Pacific,406164.5896,Sony
107592.5351,33,Some College,Dodge,East South Central,169847.3343,Sony
27478.32781,69,4-Year College Degree,Honda,Mid-Atlantic,500000.0,Acer
145683.8368,41,4-Year College Degree,Hyundai,Mountain,271596.1632,Sony
119888.6319,41,Less than High School Degree,Cadillac,West South Central,328779.0399,Acer
128751.1452,66,Less than High School Degree,Buick,New England,394010.9906,Sony
102644.1368,72,High School Degree,Dodge,New England,279655.7691,Sony
50887.8217,55,Less than High School Degree,None of the above,East North Central,329172.0321,Sony
84796.30592,24,Some College,Toyota,East North Central,167741.3617,Acer
112310.1495,75,High School Degree,Cadillac,West South Central,161946.6083,Sony
132530.6515,25,High School Degree,Chrysler,South Atlantic,145812.3485,Sony
23520.41143,72,Some College,Honda,Mountain,313318.6606,Acer
29819.80482,57,"Master's, Doctoral or Professional Degree",Chevrolet,South Atlantic,186745.1407,Sony
77468.8675,65,"Master's, Doctoral or Professional Degree",None of the above,Pacific,247147.0116,Sony
68054.64082,61,High School Degree,None of the above,West North Central,277300.5101,Acer
20000.0,41,Less than High School Degree,Jeep,East North Central,485644.5931,Sony
95047.9237,79,"Master's, Doctoral or Professional Degree",Honda,East North Central,329922.743,Sony
130455.1561,56,"Master's, Doctoral or Professional Degree",None of the above,Mid-Atlantic,92299.37273,Sony
105758.7208,75,High School Degree,Mitsubishi,Mid-Atlantic,1482.385897,Sony
69861.26466,80,High School Degree,Mitsubishi,New England,146050.3559,Acer
95688.25285,29,Some College,Mazda,West North Central,247280.5348,Acer
140323.7074,33,High School Degree,None of the above,East North Central,135551.9597,Sony
68053.3894,44,"Master's, Doctoral or Professional Degree",Subaru,East North Central,144930.6728,Sony
139193.2134,69,Less than High School Degree,Mazda,South Atlantic,0.0,Sony
150000.0,56,High School Degree,Ford,South Atlantic,373050.1477,Sony
101445.0105,23,Some College,Mitsubishi,East North Central,243688.7018,Sony
77597.74445,54,Some College,Kia,Mountain,210081.964,Acer
54661.19921,32,Less than High School Degree,Subaru,Mountain,168218.3817,Acer
81407.64171,31,"Master's, Doctoral or Professional Degree",Mercedes Benz,Pacific,329644.3365,Acer
67176.56667,21,Less than High School Degree,Chrysler,Mid-Atlantic,348279.437,Acer
142005.0501,47,Some College,Dodge,Pacific,109404.8217,Sony
103158.6319,44,High School Degree,Chrysler,New England,244790.5043,Acer
58555.51104,62,Some College,Toyota,West North Central,389687.1404,Acer
50388.49414,41,Less than High School Degree,Cadillac,East South Central,459917.5741,Sony
31488.72297,39,Less than High School Degree,Subaru,East South Central,180817.9448,Sony
48536.88348,22,Some College,Honda,Mid-Atlantic,46120.3939,Sony
59742.60873,25,Less than High School Degree,Ram,East South Central,440156.7453,Acer
98737.84065,65,4-Year College Degree,Subaru,West North Central,208253.8972,Sony
44863.38388,70,"Master's, Doctoral or Professional Degree",Mitsubishi,West North Central,153945.3747,Acer
48777.81068,28,Less than High School Degree,Mitsubishi,Mountain,500000.0,Acer
59331.00983,70,4-Year College Degree,Chevrolet,East North Central,152312.8766,Acer
127367.2236,78,Less than High School Degree,Kia,East North Central,252011.5877,Sony
121775.8335,30,High School Degree,Kia,Pacific,0.0,Sony
138178.8772,53,"Master's, Doctoral or Professional Degree",None of the above,West North Central,102848.1931,Sony
58211.01619,60,High School Degree,BMW,Mountain,498816.7148,Acer
127287.1331,28,High School Degree,Ram,East North Central,96898.41995,Sony
44057.64317,68,"Master's, Doctoral or Professional Degree",Lincoln,West South Central,410260.7621,Acer
54394.40177,28,"Master's, Doctoral or Professional Degree",Ford,South Atlantic,463516.5896,Acer
68668.61837,29,Less than High School Degree,Honda,South Atlantic,426409.1721,Acer
93055.2053,45,4-Year College Degree,Cadillac,Pacific,44131.25215,Acer
74272.1252,38,Some College,Dodge,East North Central,27119.69087,Acer
68366.51769,43,"Master's, Doctoral or Professional Degree",Mercedes Benz,East North Central,355413.1987,Sony
90626.79709,24,"Master's, Doctoral or Professional Degree",Cadillac,New England,288700.3295,Acer
31242.4138,77,"Master's, Doctoral or Professional Degree",Honda,East South Central,70410.16331,Acer
130119.761,46,Less than High School Degree,BMW,Mid-Atlantic,277130.0322,Sony
41786.0207,30,"Master's, Doctoral or Professional Degree",Nissan,East North Central,121711.702,Sony
52138.16018,49,Some College,Mitsubishi,East South Central,298294.8226,Sony
86882.99922,26,High School Degree,Cadillac,Mountain,500000.0,Acer
49480.10439,63,4-Year College Degree,Honda,South Atlantic,95135.23405,Acer
105369.2255,40,4-Year College Degree,Chevrolet,South Atlantic,36805.24678,Acer
107882.1445,20,Some College,Ford,Mid-Atlantic,64060.67396,Sony
79393.77022,51,4-Year College Degree,Chevrolet,East South Central,327541.1979,Acer
110097.7753,79,"Master's, Doctoral or Professional Degree",Lincoln,East South Central,282891.0917,Sony
107887.4497,42,4-Year College Degree,Cadillac,West North Central,106710.7235,Acer
96160.32369,61,Some College,Dodge,West North Central,328170.5307,Sony
61926.03154,62,Some College,Buick,East North Central,353903.9806,Acer
89248.67214,42,"Master's, Doctoral or Professional Degree",Mitsubishi,New England,453443.3871,Acer
120689.9804,34,"Master's, Doctoral or Professional Degree",Dodge,Mid-Atlantic,370293.4318,Sony
73906.88111,32,"Master's, Doctoral or Professional Degree",Ram,Pacific,499164.3429,Acer
30284.09299,22,"Master's, Doctoral or Professional Degree",Mazda,Mountain,280717.2947,Sony
109093.4971,78,Some College,Kia,New England,290646.7968,Sony
97601.6357,71,Some College,Ram,New England,419576.2768,Sony
106770.4341,73,Less than High School Degree,Ram,West North Central,22987.74052,Sony
75378.26838,49,Less than High School Degree,Toyota,West South Central,92529.98293,Sony
101945.0692,49,High School Degree,Buick,East South Central,423675.1601,Acer
61634.36353,40,Less than High School Degree,Nissan,New England,193099.202,Acer
87590.62225,26,High School Degree,Chevrolet,Pacific,492069.2417,Acer
73026.74521,25,"Master's, Doctoral or Professional Degree",Mercedes Benz,West North Central,56413.10219,Acer
115456.8145,69,Some College,Toyota,Mid-Atlantic,402206.1683,Sony
51667.38702,70,Some College,BMW,Pacific,347967.0229,Acer
127191.5922,39,Less than High School Degree,Subaru,Mid-Atlantic,166839.0287,Sony
134265.5064,64,Less than High School Degree,Mercedes Benz,West South Central,216715.7577,Sony
77252.30572,30,High School Degree,Mercedes Benz,West South Central,369266.2609,Acer
32157.30871,40,4-Year College Degree,Honda,Pacific,427414.4693,Sony
101426.2983,20,"Master's, Doctoral or Professional Degree",Mitsubishi,Mid-Atlantic,144685.8191,Sony
31327.01506,37,4-Year College Degree,Mercedes Benz,East South Central,244495.5525,Sony
91331.60101,70,4-Year College Degree,Nissan,East South Central,317889.0442,Sony
119657.7762,31,High School Degree,Ford,South Atlantic,232172.259,Sony
59217.17824,58,Less than High School Degree,Jeep,East North Central,173339.5829,Acer
128632.2041,33,4-Year College Degree,Subaru,South Atlantic,49848.98053,Sony
23368.89826,51,4-Year College Degree,BMW,West North Central,442672.5687,Sony
20000.0,34,"Master's, Doctoral or Professional Degree",Subaru,West North Central,134710.0769,Sony
101699.427,67,Less than High School Degree,Chevrolet,East North Central,166498.081,Sony
130758.152,74,4-Year College Degree,Nissan,West South Central,170660.5457,Sony
104663.798,77,High School Degree,Toyota,East North Central,309124.8861,Sony
63922.48979,34,"Master's, Doctoral or Professional Degree",Kia,West North Central,389379.4122,Acer
140924.8071,80,Some College,Cadillac,New England,299265.7607,Sony
39443.5188,20,4-Year College Degree,None of the above,Pacific,146688.4045,Sony
78378.65633,42,Some College,Ford,Mid-Atlantic,203090.9077,Acer
106795.6744,58,Some College,Chevrolet,Pacific,137897.6149,Sony
33148.32585,70,Some College,Buick,Mid-Atlantic,436216.7408,Acer
140087.6923,78,Some College,Buick,East South Central,360342.8861,Sony
140612.5067,50,Some College,Mazda,West South Central,276639.7362,Sony
72867.35203,67,"Master's, Doctoral or Professional Degree",Jeep,East South Central,301189.2593,Sony
94564.46832,34,High School Degree,Chrysler,East North Central,407331.4248,Acer
115429.476,57,Less than High School Degree,BMW,South Atlantic,145421.5062,Acer
55620.66204,71,"Master's, Doctoral or Professional Degree",Ram,West South Central,477419.175,Acer
33347.36033,70,Less than High School Degree,Mercedes Benz,West South Central,482101.269,Acer
39214.95888,46,Some College,Lincoln,East South Central,251382.0715,Sony
52866.81021,73,High School Degree,Dodge,East South Central,61389.59241,Acer
24178.67841,75,Some College,Honda,East North Central,75488.25598,Acer
45116.38819,28,"Master's, Doctoral or Professional Degree",Nissan,West South Central,281700.2304,Sony
27562.06748,27,High School Degree,Ram,Mid-Atlantic,156619.7207,Sony
127504.2488,47,"Master's, Doctoral or Professional Degree",Dodge,East South Central,422383.8784,Sony
35821.31543,58,Some College,Kia,West North Central,327520.885,Sony
86313.61526,63,Less than High School Degree,Toyota,East South Central,457528.8196,Sony
150000.0,80,High School Degree,Toyota,West North Central,249547.659,Sony
129134.939,23,4-Year College Degree,Chevrolet,Mountain,166516.1563,Sony
111867.2446,48,Less than High School Degree,Subaru,East South Central,307842.5284,Acer
117098.6279,35,Less than High School Degree,Mercedes Benz,New England,499503.2089,Sony
51410.89278,65,4-Year College Degree,Cadillac,South Atlantic,347975.1063,Acer
104236.7524,38,"Master's, Doctoral or Professional Degree",Cadillac,West South Central,48980.45387,Sony
65666.1086,77,Less than High School Degree,Honda,South Atlantic,11105.34325,Acer
110467.0547,79,Less than High School Degree,Mitsubishi,East South Central,499205.9892,Sony
105509.2957,80,"Master's, Doctoral or Professional Degree",Nissan,Mid-Atlantic,337376.1201,Sony
135012.8618,41,Some College,Ram,New England,203638.7886,Sony
133548.1379,80,High School Degree,BMW,Mid-Atlantic,339518.2798,Sony
86242.63475,22,"Master's, Doctoral or Professional Degree",Jeep,South Atlantic,206786.4271,Acer
56309.34769,36,High School Degree,Hyundai,West South Central,130129.9302,Acer
27660.54122,32,High School Degree,Ford,Mid-Atlantic,251119.3738,Sony
139175.3315,71,Less than High School Degree,Kia,East North Central,166746.0168,Sony
100577.598,35,Some College,Honda,Mountain,288933.1394,Sony
35053.53208,24,High School Degree,Nissan,New England,254572.0155,Sony
136474.7176,74,"Master's, Doctoral or Professional Degree",Honda,South Atlantic,197450.6893,Sony
147791.2778,69,Less than High School Degree,Nissan,Mountain,255592.9654,Sony
39644.082,30,4-Year College Degree,Buick,Pacific,463629.845,Sony
39372.49599,36,Less than High School Degree,Subaru,East South Central,350532.37,Sony
26573.25429,58,Less than High School Degree,Lincoln,East North Central,253095.6447,Sony
149630.8909,75,4-Year College Degree,Cadillac,South Atlantic,264908.7865,Sony
72179.50889,20,"Master's, Doctoral or Professional Degree",Subaru,East South Central,12750.89578,Acer
79986.354,49,4-Year College Degree,Buick,West South Central,500000.0,Acer
44697.96179,70,4-Year College Degree,Cadillac,East North Central,195563.4292,Acer
32394.8929,77,"Master's, Doctoral or Professional Degree",Ford,East South Central,383085.772,Acer
143742.3542,80,"Master's, Doctoral or Professional Degree",Kia,Pacific,129507.0112,Sony
129443.8747,43,High School Degree,Lincoln,West South Central,256947.4255,Sony
138335.9256,50,High School Degree,Dodge,West South Central,0.0,Sony
146398.1479,23,4-Year College Degree,Honda,Pacific,256626.6264,Sony
122047.985,65,Less than High School Degree,Chrysler,East South Central,480214.2265,Sony
111228.2913,75,Some College,Hyundai,Mountain,390871.9861,Sony
148080.6561,25,"Master's, Doctoral or Professional Degree",Dodge,Pacific,348060.9535,Sony
43943.42343,78,4-Year College Degree,Jeep,East North Central,140100.8136,Acer
103863.5228,44,"Master's, Doctoral or Professional Degree",Ram,East South Central,120606.6879,Acer
65915.23752,71,4-Year College Degree,Nissan,West South Central,283638.8152,Acer
38684.30988,31,"Master's, Doctoral or Professional Degree",BMW,West North Central,326804.9511,Sony
93678.64998,22,4-Year College Degree,Kia,West North Central,462596.6417,Acer
35888.77853,59,Some College,Mercedes Benz,New England,16701.63707,Acer
142943.6474,62,4-Year College Degree,BMW,East North Central,222267.6605,Sony
77634.44653,39,"Master's, Doctoral or Professional Degree",Nissan,East North Central,378508.0924,Acer
30479.86686,32,High School Degree,Hyundai,Mid-Atlantic,447580.5806,Sony
48970.60266,44,"Master's, Doctoral or Professional Degree",Cadillac,East North Central,500000.0,Sony
57425.65076,34,4-Year College Degree,Nissan,East North Central,100141.4186,Acer
33813.23216,32,"Master's, Doctoral or Professional Degree",Lincoln,South Atlantic,380759.4711,Sony
43465.95266,79,4-Year College Degree,Kia,South Atlantic,305635.7217,Acer
29502.27521,73,Some College,Subaru,Mountain,326220.1284,Acer
33075.38364,64,Some College,Mazda,Pacific,80936.28401,Acer
51743.85768,42,Some College,Toyota,Pacific,233174.5004,Sony
82071.85363,37,4-Year College Degree,Mercedes Benz,East North Central,81533.14727,Acer
135270.97,39,Less than High School Degree,Mitsubishi,Mountain,9949.779397,Sony
142641.5404,41,Some College,Honda,Mountain,127900.6,Sony
126044.3852,26,Some College,Buick,Mid-Atlantic,113170.0659,Sony
52016.06066,68,"Master's, Doctoral or Professional Degree",Kia,Pacific,193598.5375,Acer
116184.3174,57,"Master's, Doctoral or Professional Degree",None of the above,East South Central,472757.6667,Acer
120265.442,52,Some College,Subaru,West North Central,98261.74286,Acer
21068.60387,67,High School Degree,Lincoln,New England,75248.05204,Sony
142443.0239,80,4-Year College Degree,Mercedes Benz,East North Central,217056.5673,Sony
140838.5331,53,Some College,Lincoln,Mid-Atlantic,46629.10429,Sony
22242.57266,48,High School Degree,None of the above,South Atlantic,233237.7063,Sony
141371.3985,57,Some College,None of the above,West North Central,6758.350787,Sony
134775.7078,43,High School Degree,Ram,South Atlantic,410810.9561,Sony
106922.9616,46,Some College,Honda,West North Central,296361.4239,Acer
41864.3411,60,4-Year College Degree,Mitsubishi,East South Central,58115.38434,Sony
122989.4859,37,High School Degree,None of the above,Pacific,227905.1129,Sony
99902.58369,71,Less than High School Degree,Hyundai,South Atlantic,282061.1136,Sony
52389.86608,54,Less than High School Degree,Mitsubishi,Pacific,430955.7821,Sony
79392.67683,74,Some College,BMW,East North Central,329353.3819,Sony
50889.06737,20,High School Degree,Mercedes Benz,South Atlantic,258743.9115,Acer
74794.92271,76,"Master's, Doctoral or Professional Degree",Buick,West South Central,412814.9437,Sony
57894.79151,51,High School Degree,Chrysler,East North Central,237874.4637,Sony
135945.736,50,4-Year College Degree,Mazda,Mid-Atlantic,238705.9121,Sony
96689.21987,54,Some College,Jeep,West North Central,487481.5287,Acer
68762.76949,23,4-Year College Degree,Chrysler,East North Central,114843.3943,Acer
122551.7236,49,"Master's, Doctoral or Professional Degree",Dodge,Mountain,302519.8818,Acer
75542.84898,43,Some College,None of the above,South Atlantic,282457.5975,Acer
97699.81786,44,Less than High School Degree,Chrysler,East North Central,247841.0204,Acer
111351.8974,60,4-Year College Degree,Mercedes Benz,Mid-Atlantic,73525.24482,Acer
89588.20479,57,"Master's, Doctoral or Professional Degree",Buick,Pacific,135932.529,Acer
55621.78875,27,High School Degree,Jeep,East North Central,175872.8005,Sony
98651.00161,78,Some College,BMW,Mountain,41914.95199,Sony
55803.12968,57,High School Degree,Toyota,New England,40565.0112,Sony
135735.9405,57,High School Degree,Subaru,Mountain,262196.0391,Sony
26841.50521,62,Some College,Jeep,West North Central,87196.19052,Acer
